drug,cell_line_id,method,cosine_mean,mmd_rbf,de_jaccard_top100,response_magnitude_latent,threshold_index_latent,n_observed_0.5
Cytarabine,CVCL_0546,dose_field,-0.07195893675088882,0.03813615441322327,0.22699386503067484,2.555924415588379,1.2458995580673218,256
Cytarabine,CVCL_0546,nearest_0.05,0.14713306725025177,0.005477279424667358,0.12994350282485875,2.555924415588379,1.2458995580673218,256
Cytarabine,CVCL_0546,nearest_5,-0.18988384306430817,0.009196251630783081,0.03626943005181347,2.555924415588379,1.2458995580673218,256
Cytarabine,CVCL_0546,log_linear,-0.04304209724068642,0.2831498086452484,0.2578616352201258,2.555924415588379,1.2458995580673218,256
Cytarabine,CVCL_0546,ot_interpolation,-0.04304208340921701,0.007123901494026734,0.14942528735632185,2.555924415588379,1.2458995580673218,256
Cytarabine,CVCL_0546,control_floor,0.13433688879013062,0.005939573049545288,0.04712041884816754,2.555924415588379,1.2458995580673218,256
Topotecan (hydrochloride),CVCL_0546,dose_field,-0.3003440797328949,0.03978663682937622,0.03626943005181347,2.0159411430358887,1.3251985311508179,256
Topotecan (hydrochloride),CVCL_0546,nearest_0.05,0.0451531857252121,0.006300210952758789,0.0582010582010582,2.0159411430358887,1.3251985311508179,256
Topotecan (hydrochloride),CVCL_0546,nearest_5,-0.4787413477897644,0.01229819655418396,0.03626943005181347,2.0159411430358887,1.3251985311508179,256
Topotecan (hydrochloride),CVCL_0546,log_linear,-0.2811475694179535,0.3250928223133087,0.0582010582010582,2.0159411430358887,1.3251985311508179,256
Topotecan (hydrochloride),CVCL_0546,ot_interpolation,-0.2811475423636345,0.009375233946175768,0.0582010582010582,2.0159411430358887,1.3251985311508179,256
Topotecan (hydrochloride),CVCL_0546,control_floor,0.37021633982658386,0.0037329893093556166,0.02564102564102564,2.0159411430358887,1.3251985311508179,256
Ornidazole,CVCL_0546,dose_field,0.07849644124507904,0.028777072206139565,0.13636363636363635,2.2032222747802734,1.1561247110366821,256
Ornidazole,CVCL_0546,nearest_0.05,0.3094617426395416,0.005142837762832642,0.21212121212121213,2.2032222747802734,1.1561247110366821,256
Ornidazole,CVCL_0546,nearest_5,-0.1648292988538742,0.009695331566035748,0.12994350282485875,2.2032222747802734,1.1561247110366821,256
Ornidazole,CVCL_0546,log_linear,0.0671045258641243,0.3308255970478058,0.11731843575418995,2.2032222747802734,1.1561247110366821,256
Ornidazole,CVCL_0546,ot_interpolation,0.06710487830584298,0.005716787801996914,0.1695906432748538,2.2032222747802734,1.1561247110366821,256
Ornidazole,CVCL_0546,control_floor,0.2554375231266022,0.004827926401048899,0.04712041884816754,2.2032222747802734,1.1561247110366821,256
Afatinib,CVCL_0546,dose_field,0.2471734881401062,0.028572658076882362,0.10497237569060773,2.339806318283081,0.8398398756980896,256
Afatinib,CVCL_0546,nearest_0.05,0.3017399311065674,0.0029648144263774157,0.13636363636363635,2.339806318283081,0.8398398756980896,256
Afatinib,CVCL_0546,nearest_5,-0.08363363891839981,0.003748565912246704,0.09289617486338798,2.339806318283081,0.8398398756980896,256
Afatinib,CVCL_0546,log_linear,0.17589175701141357,0.28203368186950684,0.12994350282485875,2.339806318283081,0.8398398756980896,256
Afatinib,CVCL_0546,ot_interpolation,0.17589155539408374,0.0029510900174682755,0.17647058823529413,2.339806318283081,0.8398398756980896,256
Afatinib,CVCL_0546,control_floor,-0.05266038328409195,0.004758080001920462,0.02564102564102564,2.339806318283081,0.8398398756980896,256
Glasdegib,CVCL_0546,dose_field,0.07728362083435059,0.038300078362226486,0.14942528735632185,3.243643283843994,1.4072402715682983,256
Glasdegib,CVCL_0546,nearest_0.05,0.20535804331302643,0.01467690896242857,0.13636363636363635,3.243643283843994,1.4072402715682983,256
Glasdegib,CVCL_0546,nearest_5,-0.25264275074005127,0.013675888068974018,0.12359550561797752,3.243643283843994,1.4072402715682983,256
Glasdegib,CVCL_0546,log_linear,0.02675473876297474,0.32911327481269836,0.1111111111111111,3.243643283843994,1.4072402715682983,256
Glasdegib,CVCL_0546,ot_interpolation,0.02675446850416056,0.012114949430438319,0.14285714285714285,3.243643283843994,1.4072402715682983,256
Glasdegib,CVCL_0546,control_floor,-0.37226101756095886,0.012035747058689594,0.02040816326530612,3.243643283843994,1.4072402715682983,256
Ribociclib,CVCL_0546,dose_field,-0.29464036226272583,0.03773955628275871,0.09289617486338798,2.052633762359619,0.7977396845817566,256
Ribociclib,CVCL_0546,nearest_0.05,-0.4355674982070923,0.00714893126860261,0.04712041884816754,2.052633762359619,0.7977396845817566,256
Ribociclib,CVCL_0546,nearest_5,0.12887197732925415,0.0033225715160369873,0.08695652173913043,2.052633762359619,0.7977396845817566,256
Ribociclib,CVCL_0546,log_linear,-0.2734659016132355,0.32480934262275696,0.10497237569060773,2.052633762359619,0.7977396845817566,256
Ribociclib,CVCL_0546,ot_interpolation,-0.2734662136742119,0.004793878056211935,0.08695652173913043,2.052633762359619,0.7977396845817566,256
Ribociclib,CVCL_0546,control_floor,0.20087438821792603,0.003330240724608302,0.010101010101010102,2.052633762359619,0.7977396845817566,256
Flumatinib (mesylate),CVCL_0546,dose_field,-0.623295247554779,0.03280903771519661,0.030927835051546393,2.493056535720825,0.7607764601707458,256
Flumatinib (mesylate),CVCL_0546,nearest_0.05,0.16736434400081635,0.00803374219685793,0.15606936416184972,2.493056535720825,0.7607764601707458,256
Flumatinib (mesylate),CVCL_0546,nearest_5,-0.7223588228225708,0.022794106975197792,0.06382978723404255,2.493056535720825,0.7607764601707458,256
Flumatinib (mesylate),CVCL_0546,log_linear,-0.6577098965644836,0.2816617786884308,0.03626943005181347,2.493056535720825,0.7607764601707458,256
Flumatinib (mesylate),CVCL_0546,ot_interpolation,-0.6577099867154695,0.01139144327643421,0.02040816326530612,2.493056535720825,0.7607764601707458,256
